Samples,Accuracy,F1
100000,0.7622343850611719, 0.7721030705138096
200000,0.809079201545396, 0.8106641123882503
300000,0.8343528654217643, 0.8312284730195177
400000,0.8444945267224726, 0.8401191658391262
500000,0.854636188023181, 0.8490219026918575
600000,0.8676754668383774, 0.8599659284497445
700000,0.8800708306503542, 0.8724533470296182
800000,0.8871538956857695, 0.8792004135791832
900000,0.892466194462331, 0.8842287694974004
1000000,0.8982614294913072, 0.8901633646159194
1100000,0.904539600772698, 0.8962379702537183
1200000,0.9093689632968448, 0.9010022859152453
1300000,0.9150032195750161, 0.9063829787234042
1400000,0.9159690920798454, 0.9072494669509595
1500000,0.9201545396007726, 0.9114285714285715
1600000,0.9248229233741146, 0.916472902879628
1700000,0.9267546683837733, 0.9184149184149184
1800000,0.928686413393432, 0.9204525049380499
1900000,0.9299742433998712, 0.9216074968462786
2000000,0.9283644558918223, 0.9198919891989199
2100000,0.9293303283966516, 0.92082957619477
2200000,0.9291693496458467, 0.9206921413121846
2300000,0.9328718609143593, 0.9246884594545783
2400000,0.9330328396651641, 0.9246376811594202
2500000,0.934803605924018, 0.9266171407863744
2600000,0.9352865421764327, 0.9270417422867514
2700000,0.9356084996780425, 0.9274047186932849
2800000,0.9365743721828719, 0.9283114992721979
2900000,0.9386670959433355, 0.9306642402183803
3000000,0.9385061171925306, 0.9304696032034947
3100000,0.9401159047005795, 0.9322404371584699
3200000,0.9402768834513844, 0.9323116219667944
3300000,0.9410817772054089, 0.9331872946330778
3400000,0.942369607211848, 0.9345042078302231
3500000,0.9425305859626529, 0.9346752058554437
3600000,0.9420476497102382, 0.9340900768949103
3700000,0.9443013522215068, 0.9365835777126099
3800000,0.9438184159690921, 0.93599853291766
3900000,0.9444623309723117, 0.9367552703941339
4000000,0.9465550547327752, 0.9391272460579392
4100000,0.9481648422408242, 0.9407870540639941
4200000,0.9491307147456536, 0.9418476260581524
4300000,0.950096587250483, 0.9429307805596465
4400000,0.9507405022537025, 0.9436878910563121
4500000,0.9507405022537025, 0.943646408839779
4600000,0.9505795235028976, 0.9433892679328785
4700000,0.9523502897617514, 0.9453269301810122
4800000,0.9513844172569221, 0.9442186922792759
4900000,0.9523502897617514, 0.9452662721893491
5000000,0.9526722472633612, 0.9456561922365989
5100000,0.9533161622665808, 0.9463360473723168
5200000,0.9544430135222151, 0.9475245688855924
5300000,0.9537990985189955, 0.9467828666790283
5400000,0.9550869285254346, 0.9481701653353148
5500000,0.9550869285254346, 0.9481509013194573
5600000,0.9550869285254346, 0.9481509013194573
5700000,0.9552479072762395, 0.9483847010768659
5800000,0.956052801030264, 0.9493036211699164
5900000,0.9562137797810689, 0.9494987003341998
6000000,0.9565357372826787, 0.949814126394052
6100000,0.9568576947842885, 0.9501673484566754
6200000,0.9570186735350934, 0.9503070910106086
6300000,0.9573406310367032, 0.9507160126464571
6400000,0.957662588538313, 0.9510515540666294
6500000,0.9579845460399228, 0.9514056972630796
6600000,0.9586284610431423, 0.9521326131495623
6700000,0.9575016097875081, 0.9508379888268157
6800000,0.9587894397939472, 0.9522922102124487
6900000,0.9591113972955569, 0.9526296158149944
7000000,0.9600772698003863, 0.9537313432835821
